URL de Lote;Código;Ano Modelo;Marca;Modelo;Documento;Chassi;Categoria;Condição;Cond. de Funcionamento;Tipo de Monta;Tipo de Chassi;Comitente;Valor FIPE;Pátio Veículo;Data do Leilão;Pátio do Leilão;Lote;Grade/Linha;Lance atual;Meu Lance
https://www.copart.com.br/lotDetail/989432;989432;2005;VOLKSWAGEN;FOX;RECUPERÁVEL;9BWKB05Z954094623;Automóveis;COLISÃO;Motor dá partida e engrena;Pequena Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;26.679 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;1;536;9.050 BRL;0 BRL
https://www.copart.com.br/lotDetail/1016337;1016337;2002;RENAULT;CLIO SEDAN;IRRECUPERÁVEL;93YLB06152J291643;Automóveis;COLISÃO;Motor dá partida e engrena;Grande Monta;Recortado;AZUL COMPANHIA DE SEGUROS GERAIS;9.229 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;2;530;500 BRL;0 BRL
https://www.copart.com.br/lotDetail/1039699;1039699;2018;HONDA;PCX;RECUPERÁVEL;9C2KF2200JR017531;Motos;COLISÃO;Motor dá partida e engrena;Pequena Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;13.713 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;3;MOTOS LEILÃO 2;7.150 BRL;0 BRL
https://www.copart.com.br/lotDetail/1046304;1046304;2012;CHEVROLET;AGILE;RECUPERÁVEL;8AGCN48X0CR149495;Automóveis;COLISÃO;Motor dá partida e engrena;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;31.545 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;4;413;9.350 BRL;0 BRL
https://www.copart.com.br/lotDetail/1049049;1049049;2016;HONDA;FIT;RECUPERÁVEL;93HGK5860GZ210292;Automóveis;COLISÃO;Motor dá partida e engrena;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;0 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;5;434;29.250 BRL;0 BRL
https://www.copart.com.br/lotDetail/1029903;1029903;2024;CITROEN;C3 AIRCROSS;IRRECUPERÁVEL;935CNFC51RB515986;Automóveis;COLISÃO;Motor dá partida e engrena;Grande Monta;Recortado;AZUL COMPANHIA DE SEGUROS GERAIS;102.807 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;6;560;5.800 BRL;0 BRL
https://www.copart.com.br/lotDetail/880389;880389;2011;FORD;FIESTA SEDAN;IRRECUPERÁVEL;9BFZF54P2B8132634;Automóveis;COLISÃO;Desconhecido;Grande Monta;Recortado;AZUL COMPANHIA DE SEGUROS GERAIS;30.330 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;7;515;1.150 BRL;0 BRL
https://www.copart.com.br/lotDetail/895976;895976;2012;CHEVROLET;COBALT;RECUPERÁVEL;9BGJB69X0CB298149;Automóveis;COLISÃO;Desconhecido;Pequena Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;32.755 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;8;479;7.850 BRL;0 BRL
https://www.copart.com.br/lotDetail/999360;999360;2019;RENAULT;LOGAN;RECUPERÁVEL;93Y4SRF84KJ746241;Automóveis;COLISÃO;Motor dá partida e engrena;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;36.186 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;9;431;12.950 BRL;0 BRL
https://www.copart.com.br/lotDetail/1040938;1040938;2016;HONDA;HR-V;RECUPERÁVEL;93HRV2850GZ131745;SUV Pequenos;COLISÃO;Desconhecido;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;83.224 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;10;459;26.900 BRL;0 BRL
https://www.copart.com.br/lotDetail/1038933;1038933;2013;CHEVROLET;ONIX;RECUPERÁVEL;9BGKS48B0DG267352;Automóveis;COLISÃO;Desconhecido;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;40.019 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;11;569;9.600 BRL;0 BRL
https://www.copart.com.br/lotDetail/1032468;1032468;2006;VOLKSWAGEN;FOX;IRRECUPERÁVEL;9BWKB05Z464156477;Automóveis;QUEIMADO;Desconhecido;Grande Monta;Recortado;AZUL COMPANHIA DE SEGUROS GERAIS;23.650 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;12;589;900 BRL;0 BRL
https://www.copart.com.br/lotDetail/906546;906546;2013;FIAT;PALIO;RECUPERÁVEL;9BD196271D2069100;Automóveis;COLISÃO;Desconhecido;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;32.555 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;13;498;6.800 BRL;0 BRL
https://www.copart.com.br/lotDetail/1041729;1041729;2018;CHERY;QQ;RECUPERÁVEL;98RDB12B1JA004029;Automóveis;COLISÃO;Desconhecido;Pequena Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;0 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;14;424;5.150 BRL;0 BRL
https://www.copart.com.br/lotDetail/1041762;1041762;2008;CHEVROLET;MERIVA;RECUPERÁVEL;9BGXL75G08C189448;Automóveis;COLISÃO;Motor dá partida e engrena;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;25.442 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;15;426;6.350 BRL;0 BRL
https://www.copart.com.br/lotDetail/981281;981281;2005;FORD;FIESTA;RECUPERÁVEL;9BFZF10B758298042;Automóveis;COLISÃO;Motor dá partida;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;14.958 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;16;430;3.300 BRL;0 BRL
https://www.copart.com.br/lotDetail/1046961;1046961;2014;HONDA;CITY;RECUPERÁVEL;93HGM2620EZ211638;Automóveis;COLISÃO;Motor dá partida e engrena;Média Monta;Normal;AZUL COMPANHIA DE SEGUROS GERAIS;55.075 BRL;ITAQUAQUECETUBA - SP;17.11.2025 10:00 BRT;Itaquaquecetuba - SP;17;471;16.150 BRL;0 BRL
